company,broker_name,field_name,column_name
ambetter,Beatriz Sierra,policy_status,policy_status
ambetter,Beatriz Sierra,member_id,Policy Number
ambetter,Beatriz Sierra,termination_date,Policy Term Date
ambetter,Beatriz Sierra,premium,Member Responsibility
ambetter,Beatriz Sierra,broker_end_date,Broker Term Date
ambetter,Beatriz Sierra,initial_date,Policy Effective Date
ambetter,Beatriz Sierra,paid_through_date,Paid Through Date
ambetter,Beatriz Sierra,payment_type,Autopay
ambetter,Ana Daniella Corrales,policy_status,policy_status
ambetter,Ana Daniella Corrales,member_id,Policy Number
ambetter,Ana Daniella Corrales,termination_date,Policy Term Date
ambetter,Ana Daniella Corrales,premium,Member Responsibility
ambetter,Ana Daniella Corrales,broker_termination_date,Broker Term Date
ambetter,Ana Daniella Corrales,initial_date,Policy Effective Date
ambetter,Ana Daniella Corrales,paid_through_date,Paid Through Date
ambetter,Ana Daniella Corrales,payment_type,Autopay
oscar,Beatriz Sierra,policy_status,Policy status
oscar,Beatriz Sierra,member_id,Member ID
oscar,Beatriz Sierra,termination_partial_date,Coverage end date
oscar,Beatriz Sierra,premium,Premium amount
oscar,Beatriz Sierra,effective_partial_date,Coverage start date
oscar,Beatriz Sierra,paid_through_date,paid_through_date
oscar,Beatriz Sierra,payment_type,Autopay
oscar,Ana Daniella Corrales,policy_status,Policy status
oscar,Ana Daniella Corrales,member_id,Member ID
oscar,Ana Daniella Corrales,termination_partial_date,Coverage end date
oscar,Ana Daniella Corrales,premium,Premium amount
oscar,Ana Daniella Corrales,effective_partial_date,Coverage start date
oscar,Ana Daniella Corrales,paid_through_date,paid_through_date
oscar,Ana Daniella Corrales,payment_type,Autopay
molina,Beatriz Sierra,policy_status,policy_status
molina,Beatriz Sierra,member_id,HIX_ID
molina,Beatriz Sierra,termination_date,termination_date
molina,Beatriz Sierra,premium,Member_Premium
molina,Beatriz Sierra,broker_termination_date,Broker_End_Date
molina,Beatriz Sierra,initial_date,Effective_date
molina,Beatriz Sierra,paid_through_date,Paid_Through_Date
aetna,Beatriz Sierra,policy_status,Account Status
aetna,Beatriz Sierra,member_id,Issuer Assigned ID
aetna,Beatriz Sierra,paid_through_date,Paid Through Date
aetna,Beatriz Sierra,effective_partial_date,Plan Effective Date